"ref","stratum","verdict","note"
"00068377:1258:008","fair_copy","correct",""
"DE-611-HS-974894:0332:018","fair_copy","correct",""
"DE-611-HS-958698:0011:024","fair_copy","correct",""
"DE-611-HS-859738:0014:007","fair_copy","correct",""
"DE-611-HS-508944:0229:018","fair_copy","correct",""
"DE-611-HS-862260:0064:004","fair_copy","wrong",""
"00068377:0548:015","fair_copy","wrong",""
"DE-611-HS-860628:0257:012","fair_copy","wrong",""
"00068369:0660:003","fair_copy","unreadable",""
"DE-611-HS-970455:0009:006","fair_copy","correct",""
"DE-611-HS-855596:0006:012","fair_copy","correct",""
"DE-611-HS-855596:0007:002","fair_copy","correct",""
"DE-611-HS-974894:0325:013","fair_copy","correct",""
"DE-611-HS-974894:0243:031","fair_copy","wrong",""
"00068377:1270:027","fair_copy","wrong",""
"DE-611-HS-974894:0350:006","fair_copy","correct",""
"DE-611-HS-974894:0296:008","fair_copy","correct",""
"DE-611-HS-974894:0313:028","fair_copy","correct",""
"00068377:0959:022","fair_copy","unreadable",""
"00068377:0963:001","fair_copy","unreadable",""
"DE-611-HS-862041:0034:013","fair_copy","",""
"00068377:1223:026","fair_copy","",""
"00068377:1383:023","fair_copy","",""
"00068285:0002:001","fair_copy","",""
"00068285:0009:035","fair_copy","",""
"00068285:0013:039","fair_copy","",""
"00068285:0016:001","fair_copy","",""
"00068285:0033:026","fair_copy","",""
"00068285:0037:019","fair_copy","",""
"00068285:0059:036","fair_copy","",""
"00068285:0070:008","fair_copy","",""
"00068285:0075:033","fair_copy","",""
"00068285:0090:000","fair_copy","",""
"00068285:0101:040","fair_copy","",""
"00068285:0109:025","fair_copy","",""
"00068285:0135:034","fair_copy","",""
"00068285:0139:040","fair_copy","",""
"00068285:0140:004","fair_copy","",""
"00068285:0148:014","fair_copy","",""
"00068285:0157:002","fair_copy","",""
"00068285:0166:010","fair_copy","",""
"00068285:0173:037","fair_copy","",""
"00068285:0183:029","fair_copy","",""
"00068285:0194:004","fair_copy","",""
"00068285:0211:023","fair_copy","",""
"00068285:0214:010","fair_copy","",""
"00068285:0233:024","fair_copy","",""
"00068285:0240:010","fair_copy","",""
"00068285:0256:015","fair_copy","",""
"00068285:0273:014","fair_copy","",""
"DE-611-HS-957395:0009:011","light_revision","",""
"00068377:1246:014","light_revision","",""
"DE-611-HS-867801:0007:039","light_revision","",""
"DE-611-HS-867321:0021:010","light_revision","",""
"DE-611-HS-957357:0088:009","light_revision","",""
"DE-611-HS-960102:0009:034","light_revision","",""
"DE-611-HS-970495:0142:001","light_revision","",""
"DE-611-HS-860383:0016:000","light_revision","",""
"DE-611-HS-867205:0001:032","light_revision","",""
"DE-611-HS-857075:0050:034","light_revision","",""
"DE-611-HS-957317:0052:034","light_revision","",""
"DE-611-HS-855601:0006:015","light_revision","",""
"DE-611-HS-959288:0086:029","light_revision","",""
"00068369:0015:019","light_revision","",""
"DE-611-HS-861697:0036:033","light_revision","",""
"DE-611-HS-971102:0034:010","light_revision","",""
"DE-611-HS-855763:0005:036","light_revision","",""
"DE-611-HS-856369:0192:022","light_revision","",""
"DE-611-HS-860359:0005:026","light_revision","",""
"DE-611-HS-855766:0015:045","light_revision","",""
"00068442:0051:032","light_revision","",""
"DE-611-HS-973068:0082:003","light_revision","",""
"DE-611-HS-974744:0053:001","light_revision","",""
"DE-611-HS-861697:0053:007","light_revision","",""
"DE-611-HS-970455:0043:035","light_revision","",""
"DE-611-HS-971140:0064:052","light_revision","",""
"DE-611-HS-866698:0001:007","light_revision","",""
"DE-611-HS-958494:0036:004","light_revision","",""
"00068778:0079:037","light_revision","",""
"DE-611-HS-860577:0026:057","light_revision","",""
"DE-611-HS-3595205:0073:018","light_revision","",""
"00068768:0311:027","light_revision","",""
"00068768:0384:014","light_revision","",""
"00068283:0044:006","light_revision","",""
"00068774:0253:037","light_revision","",""
"00068774:0254:026","light_revision","",""
"00068774:0268:022","light_revision","",""
"DE-611-HS-859609:0038:022","light_revision","",""
"DE-611-HS-974894:0263:018","light_revision","",""
"00068774:0113:036","light_revision","",""
"DE-611-HS-973119:0126:043","light_revision","",""
"DE-611-HS-855712:0025:026","light_revision","",""
"DE-611-HS-867437:0100:018","light_revision","",""
"DE-611-HS-971383:0034:052","light_revision","",""
"00068377:1120:009","light_revision","",""
"DE-611-HS-861723:0193:021","light_revision","",""
"00068401:0113:004","light_revision","",""
"00068768:0051:044","light_revision","",""
"00068768:0127:060","light_revision","",""
"00068768:0161:032","light_revision","",""
"DE-611-HS-868175:0015:002","heavy_revision","",""
"DE-611-HS-971126:0001:053","heavy_revision","",""
"DE-611-HS-973068:0059:028","heavy_revision","",""
"DE-611-HS-867205:0015:017","heavy_revision","",""
"DE-611-HS-867145:0039:037","heavy_revision","",""
"DE-611-HS-973585:0073:003","heavy_revision","",""
"DE-611-HS-960189:0001:015","heavy_revision","",""
"DE-611-HS-957829:0126:019","heavy_revision","",""
"DE-611-HS-860223:0060:004","heavy_revision","",""
"DE-611-HS-856819:0374:023","heavy_revision","",""
"00068331:0018:002","heavy_revision","",""
"DE-611-HS-867251:0037:049","heavy_revision","",""
"00068371:0045:027","heavy_revision","",""
"DE-611-HS-957829:0186:009","heavy_revision","",""
"DE-611-HS-860205:0007:021","heavy_revision","",""
"00068400:0010:100","heavy_revision","",""
"00068377:1121:043","heavy_revision","",""
"00068778:0014:023","heavy_revision","",""
"00068703:0074:014","heavy_revision","",""
"00068378:0719:012","heavy_revision","",""
"00068647:0042:076","heavy_revision","",""
"00068258:0003:037","heavy_revision","",""
"00068647:0016:019","heavy_revision","",""
"DE-611-HS-970486:0240:012","heavy_revision","",""
"DE-611-HS-960108:0005:046","heavy_revision","",""
"DE-611-HS-867509:0126:022","heavy_revision","",""
"00068606:0413:117","heavy_revision","",""
"DE-611-HS-859609:0077:056","heavy_revision","",""
"00068753:0127:041","heavy_revision","",""
"00067988:0015:064","heavy_revision","",""
"00068334:0033:053","heavy_revision","",""
"00068331:0043:071","heavy_revision","",""
"DE-611-HS-958006:0006:009","heavy_revision","",""
"00068768:0452:031","heavy_revision","",""
"00068534:0333:126","heavy_revision","",""
"DE-611-HS-958006:0014:030","heavy_revision","",""
"00068549:0190:011","heavy_revision","",""
"DE-611-HS-855399:0157:026","heavy_revision","",""
"00068377:0280:017","heavy_revision","",""
"DE-611-HS-859609:0179:077","heavy_revision","",""
"DE-611-HS-859609:0035:032","heavy_revision","",""
"00068377:1186:023","heavy_revision","",""
"00068769:0143:109","heavy_revision","",""
"00068433:0032:007","heavy_revision","",""
"00068330:0046:016","heavy_revision","",""
"DE-611-HS-856498:0038:012","heavy_revision","",""
"00068650:0009:146","heavy_revision","",""
"00068299:0013:068","heavy_revision","",""
"00068823:0324:003","heavy_revision","",""
"00068823:0324:025","heavy_revision","",""
"DE-611-HS-855794:0241:045","scrap","",""
"DE-611-HS-855794:0242:018","scrap","",""
