ref,stratum,align_conf,folio,gt_text,htr_text,image
00068377:1258:008,fair_copy,0.973,637v,"ailleurs. J’ay fait
corriger à la plume",ailleurs. Jay fait corviger a la plume,yes
DE-611-HS-974894:0332:018,fair_copy,0.972,171v,La personne à qui vous addressez les,La personne a qui vous addressés les,yes
DE-611-HS-958698:0011:024,fair_copy,0.917,6r,"intitulée Flores
temporum , pertingit usque ad Carolum quartum , c’est-à-dire","intitulée Filores temporum, pertingit ut que ad Carolum guctum, c’ese à de",yes
DE-611-HS-859738:0014:007,fair_copy,0.982,7v,ultimum forsan partum suum. Serenissimo nostro Electori,"ultimam forsan partum suum, serenissimo nostro Electori",yes
DE-611-HS-508944:0229:018,fair_copy,1.000,116r,"prier de
vouloir bien les envoyer",prier de vouloir bien les envoyer,yes
DE-611-HS-862260:0064:004,fair_copy,0.921,32v,"a fait deux personnes, page 513 en 1053)","a fait deuae versonnes, age 513. en 1053.)",yes
00068377:0548:015,fair_copy,0.927,272v,"veüe, à droitfe] ny à gauche,
mais avec toutte","verie, adroit ny a gaucme, mais avec toutte",yes
DE-611-HS-860628:0257:012,fair_copy,0.857,129r,donnée au Rd Pere Verjus qui,dovnće au a. Pere Verjus quis,yes
00068369:0660:003,fair_copy,0.794,332v,gran spina al quore degl’Avversarii;,granspina alouore de sl’Auuevsaors;,yes
DE-611-HS-970455:0009:006,fair_copy,1.000,5r,Tuam tentare verecundiam videar,Tuam tentare verecundiam videar,yes
DE-611-HS-855596:0006:012,fair_copy,0.714,3v,sottise.,sollise.,yes
DE-611-HS-855596:0007:002,fair_copy,1.000,4r,costé là.,coste la.,yes
DE-611-HS-974894:0325:013,fair_copy,0.976,168r,"environs de Casai et de Pignerol, et faire","environs de Casal et de Pignerol, et faire",yes
DE-611-HS-974894:0243:031,fair_copy,0.977,128r,"but, qu’il seroit trop long de rapporter icy.","but, qu’il seroit trop long de rapporter ici.",yes
00068377:1270:027,fair_copy,0.931,643v,"la difficulté demeure
toujours à multiplier cette presence",la diffienete demeuve toujours à multiplier cette presence,yes
DE-611-HS-974894:0350:006,fair_copy,0.979,180v,"depuis Francfort jusqu’en Hollande, il a
esté fort",depuis Franefort jusqu’en Hollande. Ia esté fort,yes
DE-611-HS-974894:0296:008,fair_copy,0.955,153v,que Vous aurez veu. Il allégué plusieurs mots,que vous aurer veu. Il alleque plusieurs mots,yes
DE-611-HS-974894:0313:028,fair_copy,0.974,162r,"profondes; et Mons. Wallis ne
devoit pas ou","profondes, et Mr. Wallis ne devoit pas ou",yes
00068377:0959:022,fair_copy,0.667,483r,sur,sum,yes
00068377:0963:001,fair_copy,0.875,485r,laquelle je suis,eaquelle ce suis,yes
